OBJECTID,MES,SEMBRADO,PREPARADO,SV,POINT_X,POINT_Y,B3,B4,B8,B11,NDVI,NDMI,STATUS,HUMEDAD,TEMPERATUR,HUM_ORD,TEMP_ORD,MES_ORD,STATUS_ORD
519,ENERO,0,0,1,-100.2095296,20.65810307,1234.071429,1702.285714,2218.714286,3199.714286,0.132931,-0.181848,INACTIVO,BAJA,BAJA,1,3,1,1
520,ENERO,0,0,1,-100.2112428,20.6429697,1646.9375,2188.625,2817.875,3897.5,0.126108,-0.164987,INACTIVO,BAJA,BAJA,1,3,1,1
521,ENERO,0,0,1,-100.2402532,20.65450533,1375.516667,1689.433333,2231.833333,3152.816667,0.140597,-0.174269,INACTIVO,BAJA,BAJA,1,3,1,1
522,ENERO,0,0,1,-100.2428434,20.53646336,1172.616667,1441.366667,1981.1,2721.166667,0.156742,-0.15898,INACTIVO,BAJA,BAJA,1,3,1,1
523,ENERO,0,0,1,-100.2448422,20.5371772,1197.733333,1412.933333,2053.6,2670.966667,0.179982,-0.136116,INACTIVO,BAJA,BAJA,1,3,1,1
524,ENERO,0,0,1,-100.2464126,20.54281652,1210.483333,1442.333333,1929.983333,2700.65,0.14423,-0.167649,INACTIVO,BAJA,BAJA,1,3,1,1
525,ENERO,0,0,1,-100.2467338,20.5424596,1424.783333,1805.9,2369.9,2774.433333,0.135419,-0.0791585,INACTIVO,BAJA,BAJA,1,3,1,1
526,ENERO,0,0,1,-100.2458772,20.54342329,1138.35,1348.066667,1802.166667,2515.783333,0.14305,-0.17031,INACTIVO,BAJA,BAJA,1,3,1,1
527,ENERO,0,0,1,-100.2435216,20.54663556,1114.066667,1274.383333,1771.183333,2357.266667,0.163869,-0.143219,INACTIVO,BAJA,BAJA,1,3,1,1
528,ENERO,0,0,1,-100.2277814,20.5424596,1395.55,1726.15,2250.15,2905.15,0.13764,-0.131193,INACTIVO,BAJA,BAJA,1,3,1,1
529,ENERO,0,1,0,-100.3378255,20.73148982,1514.675,1601.991667,2615.125,2297.766667,0.295224,0.0464428,PREPARADO,BAJA,BAJA,1,3,1,2
530,ENERO,0,1,0,-100.337421,20.7311091,1484.816667,1599.766667,2503.225,2366.9,0.270654,0.00932323,PREPARADO,BAJA,BAJA,1,3,1,2
531,ENERO,0,1,0,-100.2702441,20.73430973,1246.358333,1427.95,1828.033333,2555.458333,0.138727,-0.194629,PREPARADO,BAJA,BAJA,1,3,1,2
532,ENERO,0,1,0,-100.2716123,20.7362133,1235.508333,1391.233333,1775.016667,2463.183333,0.136449,-0.189654,PREPARADO,BAJA,BAJA,1,3,1,2
533,ENERO,0,1,0,-100.2696492,20.73728405,1205.5,1365.283333,1777.741667,2374.941667,0.142745,-0.178251,PREPARADO,BAJA,BAJA,1,3,1,2
534,ENERO,0,1,0,-100.2703631,20.73579689,1295.633333,1506.183333,1922.125,2686.3,0.133283,-0.186725,PREPARADO,BAJA,BAJA,1,3,1,2
535,ENERO,0,1,0,-100.2678052,20.74257835,1142.75,1242.933333,1560.191667,2007.233333,0.125353,-0.171543,PREPARADO,BAJA,BAJA,1,3,1,2
536,ENERO,0,1,0,-100.2693518,20.74257835,1170.8,1295.191667,1760.241667,2094.866667,0.159381,-0.128227,PREPARADO,BAJA,BAJA,1,3,1,2
537,ENERO,0,1,0,-100.2713744,20.74537422,1213.866667,1265.45,1924.916667,2169.541667,0.236245,-0.104748,PREPARADO,BAJA,BAJA,1,3,1,2
538,ENERO,0,1,0,-100.2707795,20.74686138,1191.433333,1191.741667,1904.658333,1991.983333,0.26956,-0.0729662,PREPARADO,BAJA,BAJA,1,3,1,2
539,ENERO,0,1,0,-100.2990951,20.71848631,1355.791667,1497.775,1990.066667,2275.308333,0.159693,-0.0971154,PREPARADO,BAJA,BAJA,1,3,1,2
540,ENERO,0,1,0,-100.3065309,20.72306677,1214.875,1234.783333,2430.041667,2218.916667,0.369303,0.0159655,PREPARADO,BAJA,BAJA,1,3,1,2
541,ENERO,0,1,0,-100.2713744,20.71134793,1242.491667,1332.475,2231.5,2548.033333,0.271948,-0.0817157,PREPARADO,BAJA,BAJA,1,3,1,2
